id,Age,AnnualIncome,ExperienceYears,EducationLevel,EmploymentStatus,TrainingHours,CertificationsCompleted,PolicySales,CustomerInteractions,LeadConversions,ClientRetentionRate,CustomerFeedbackScore,Region,WorkHoursPerWeek,CommissionEarned,PolicyTypesSold,AverageResponseTime,CompetitorExperience,CompanyTrainingParticipation,ConfidenceScore
53,57,45098,10,Doctorate,Employed,85,6,42,874,95,0.97,0.2,North,28,18069,4,9.18,0,0,High
54,61,142095,17,High School,Unemployed,44,0,24,279,261,0.69,0.227,East,23,8917,3,5.03,0,1,High
55,25,129987,16,Master,Unemployed,163,3,30,574,101,0.81,0.759,West,53,8146,4,5.82,0,1,High
56,23,74962,20,Master,Employed,155,3,153,610,107,0.62,0.719,North,20,4435,2,7.25,1,1,Low
57,27,113672,5,Bachelor,Employed,73,2,70,852,23,0.88,0.732,North,55,15148,1,5.41,1,1,High
58,63,60885,32,High School,Employed,131,3,172,862,15,0.95,0.865,East,25,8848,1,6.85,0,1,Low
59,25,121256,27,Master,Unemployed,65,1,185,409,207,0.74,0.284,East,23,5269,3,1.16,1,1,Low
60,50,46157,4,Doctorate,Unemployed,64,2,63,697,284,0.94,0.333,West,32,5199,2,6.41,0,1,High
61,39,73372,7,Doctorate,Unemployed,149,2,19,900,299,0.99,0.965,East,20,15617,4,3.62,0,1,Low
62,47,44674,14,Doctorate,Unemployed,46,9,78,731,269,0.8,0.196,South,43,14514,3,8.5,1,1,Low
63,55,57357,39,High School,Unemployed,61,0,79,681,275,0.78,0.352,North,46,16230,1,3.07,0,0,High
64,31,37578,24,Doctorate,Employed,156,6,98,128,109,0.69,0.966,South,29,17390,2,7.51,1,1,Low
65,57,27251,18,Doctorate,Employed,24,3,189,807,5,0.89,0.593,East,25,14051,4,8.93,1,0,High
66,35,104049,38,Doctorate,Unemployed,136,7,188,368,207,0.91,0.935,South,32,1601,3,2.05,1,1,Low
67,52,62429,39,Bachelor,Employed,95,8,53,504,115,0.51,0.825,East,35,16618,3,9.6,0,0,Low
68,36,117641,1,Master,Unemployed,93,1,34,547,254,0.63,0.955,East,24,17242,1,2.76,0,1,Low
69,29,71871,17,High School,Employed,116,1,103,434,27,0.52,0.765,East,48,1990,2,7.33,1,1,High
70,35,111526,26,Master,Unemployed,189,1,111,108,13,0.89,0.336,South,55,15561,2,8.64,0,0,High
71,44,50499,22,Bachelor,Employed,86,7,33,126,138,0.59,0.783,East,45,8194,1,1.15,1,1,High
72,61,31421,39,Master,Employed,163,1,102,878,272,0.55,0.453,South,45,15716,4,9.51,0,0,High
73,42,77204,18,Master,Unemployed,54,5,124,994,58,0.9,0.244,East,26,13652,1,4.37,0,1,High
74,37,49591,38,Doctorate,Unemployed,105,4,128,303,261,0.79,0.323,East,21,6882,4,6.01,1,0,High
75,39,85940,28,High School,Employed,30,9,8,836,145,0.58,0.364,East,28,12504,1,7.79,1,1,Low
76,45,117515,21,Bachelor,Unemployed,90,8,104,106,250,0.92,0.193,East,28,18540,3,4.44,0,0,High
77,47,111371,38,High School,Employed,62,1,93,112,229,0.7,0.462,East,57,18745,2,5.96,1,1,Low
78,46,128229,33,Doctorate,Employed,166,0,20,499,79,0.69,0.948,East,21,19416,3,2.75,0,0,High
79,62,37202,30,Master,Employed,185,1,21,455,212,0.83,0.275,West,32,8998,4,2.6,0,0,High
80,50,125950,8,Bachelor,Employed,122,9,107,57,249,0.52,0.98,North,54,11467,3,9.68,1,0,High
81,36,148981,30,High School,Employed,156,4,89,604,135,0.67,0.538,West,25,7389,1,3.6,0,1,Low
82,22,116202,39,Master,Employed,191,7,158,202,20,0.54,0.783,South,42,6231,4,9.36,0,0,High
83,46,44290,9,Bachelor,Employed,87,7,36,843,164,0.87,0.201,West,26,14589,1,2.22,1,0,High
84,28,43130,33,Doctorate,Unemployed,136,1,175,509,213,0.64,0.876,West,56,5149,1,5.93,0,1,High
85,30,62077,29,Bachelor,Unemployed,128,4,129,820,180,0.92,0.62,West,49,12495,1,1.48,1,1,High
86,45,149600,31,Bachelor,Employed,112,1,103,838,287,0.71,0.217,South,58,17828,3,7.23,1,0,High
87,22,140136,3,Master,Employed,96,6,143,502,272,0.94,0.549,East,21,18281,1,7.88,1,0,Low
88,29,44396,38,Bachelor,Employed,114,9,49,701,151,0.61,0.711,East,25,3803,1,7.18,1,0,Low
89,45,85848,11,Doctorate,Employed,11,7,124,76,149,0.83,0.471,West,22,14917,4,8.62,0,0,Low
90,32,108488,5,Doctorate,Employed,124,4,22,297,259,0.97,0.392,South,58,9973,3,2.94,0,1,High
91,38,85530,31,Bachelor,Unemployed,41,0,123,946,178,0.7,0.373,East,33,1576,1,2.23,0,0,High
92,29,89274,20,Master,Employed,111,6,98,220,37,0.58,0.581,West,33,16308,4,5.74,0,1,Low
93,56,143179,4,Master,Unemployed,71,2,5,231,211,0.78,0.495,West,34,16589,3,2.1,0,0,High
94,56,52122,8,Master,Employed,106,1,188,615,161,0.72,0.767,North,44,1700,3,4.04,0,1,High
95,54,54381,35,Doctorate,Employed,131,5,35,485,199,0.75,0.954,South,57,4743,4,2.36,1,0,High
96,26,70435,13,Doctorate,Employed,144,1,149,678,231,0.74,0.262,East,57,16862,4,6.84,1,1,High
97,63,130614,5,Master,Unemployed,107,9,189,379,190,0.63,0.558,East,37,15324,1,1.74,0,1,Low
98,60,48267,19,High School,Unemployed,93,7,138,830,248,0.76,0.541,North,46,12212,1,2.76,0,0,High
99,62,138271,18,Doctorate,Employed,159,2,121,324,107,0.57,0.461,East,37,7468,1,9.46,0,1,High
100,49,145672,33,Master,Unemployed,166,1,76,912,231,0.79,0.773,East,26,17208,4,5.94,1,1,High
101,28,132543,4,Bachelor,Unemployed,116,7,172,677,104,0.72,0.511,North,27,10376,2,7.39,1,1,Low
102,30,86978,18,Bachelor,Employed,110,5,55,143,99,0.99,0.185,East,37,17134,1,4.11,1,1,Low
103,29,32088,24,Master,Employed,140,3,172,255,228,0.55,0.552,West,26,10632,1,4.55,0,1,High
104,33,122354,29,Bachelor,Unemployed,31,4,171,107,67,0.88,0.779,South,25,19344,3,6.9,1,1,High
105,55,37822,31,High School,Unemployed,93,9,93,81,214,0.67,0.963,South,33,3796,4,2.22,1,0,High
106,54,144456,28,High School,Unemployed,98,6,104,923,240,0.85,0.203,South,35,13076,1,3.42,1,0,High
107,44,75216,9,Master,Employed,115,3,128,610,278,0.98,0.671,South,37,12236,1,1.58,0,0,Low
108,45,61589,26,Bachelor,Unemployed,190,6,27,663,91,0.95,0.418,East,58,18911,3,6.21,0,1,Low
109,58,90262,2,High School,Employed,102,5,3,918,247,0.56,0.305,North,29,11378,1,3.81,0,1,High
110,56,82911,6,Master,Unemployed,194,4,131,703,230,0.94,0.638,North,36,15308,3,8.34,1,1,High
111,61,26436,29,Master,Employed,147,2,77,95,48,0.7,0.455,North,29,1163,3,8.55,0,1,High
112,43,86854,26,Doctorate,Employed,112,0,86,918,53,0.54,0.165,South,43,11460,1,1.18,0,0,Low
113,48,86888,28,High School,Employed,110,7,57,653,84,0.6,0.906,West,44,16090,4,2.01,0,1,Low
114,56,136201,7,Bachelor,Unemployed,49,6,110,238,61,0.51,0.49,West,30,6934,1,1.89,0,1,High
115,22,52281,34,High School,Employed,123,5,41,581,120,0.57,0.967,South,21,8967,2,3.74,1,1,Low
116,56,113017,10,Master,Unemployed,157,3,195,714,93,0.73,0.3,West,25,4668,2,8.47,0,1,High
117,58,121005,22,Doctorate,Unemployed,134,4,192,508,233,0.97,0.15,South,58,10137,4,6.94,1,1,High
118,35,109403,27,Master,Employed,96,4,39,750,180,0.9,0.127,South,30,11417,4,7.71,0,0,Low
119,24,131023,39,Doctorate,Unemployed,20,1,73,76,249,0.77,0.654,North,33,6406,2,1.03,0,0,High
120,22,78952,22,Doctorate,Employed,145,5,134,298,126,0.66,0.854,North,53,6864,1,7.92,1,1,High
121,26,47766,19,Master,Unemployed,102,4,129,974,131,0.51,0.676,East,53,13651,3,8.34,1,0,Low
122,47,120273,36,Doctorate,Unemployed,45,0,33,886,100,0.53,0.841,East,56,1141,4,2.99,0,0,Low
123,35,46213,9,High School,Unemployed,162,8,117,804,255,0.87,0.566,West,59,7461,1,7.43,1,1,Low
124,60,118891,19,Master,Employed,176,6,119,800,118,0.77,0.202,North,34,13418,1,3.21,1,1,Low
125,48,87239,2,Bachelor,Unemployed,107,1,50,98,105,0.56,0.825,South,49,14501,2,4.33,0,0,Low
126,30,47537,28,Doctorate,Unemployed,120,5,11,578,191,0.93,0.427,North,30,13836,3,1.28,0,0,High
127,36,27794,39,Bachelor,Unemployed,105,0,55,180,107,0.76,0.723,North,39,9344,3,8.16,0,0,High
128,36,84204,22,Master,Unemployed,71,1,75,231,272,0.92,0.203,South,44,3176,3,3.79,1,0,Low
129,47,134832,6,Doctorate,Employed,114,6,15,185,147,0.89,0.354,North,47,16743,1,2.3,0,1,High
130,63,57324,7,Master,Unemployed,158,2,135,616,188,0.67,0.473,South,32,5814,1,9.42,0,0,High
131,34,81764,6,High School,Employed,156,6,169,786,83,0.85,0.971,West,42,19369,2,3.76,1,0,Low
132,53,55858,33,High School,Unemployed,162,5,5,475,64,1.0,0.674,West,30,5739,3,7.72,1,0,High
133,60,67850,14,Doctorate,Unemployed,96,4,176,720,279,0.87,0.724,North,34,14440,2,8.89,0,0,High
134,53,38018,1,Bachelor,Employed,142,9,138,825,161,0.63,0.8,South,46,17039,3,9.44,0,1,High
135,25,108017,25,Bachelor,Unemployed,136,8,189,370,194,0.8,0.544,East,28,19717,1,4.53,1,0,Low
136,51,75790,6,Master,Unemployed,92,9,157,54,122,0.72,0.24,North,41,12143,4,3.39,0,0,High
137,58,106120,28,Doctorate,Unemployed,21,4,137,420,159,0.65,0.376,South,48,2135,3,2.36,0,0,High
138,44,34850,18,High School,Unemployed,112,4,86,536,231,0.64,0.322,East,20,18578,2,5.93,1,0,High
139,60,116237,27,Bachelor,Employed,162,7,17,182,253,0.73,0.907,South,38,7954,4,9.39,1,1,High
140,36,131759,2,Doctorate,Unemployed,14,6,61,83,229,0.66,0.756,East,58,6084,2,8.73,1,1,Low
141,64,134488,21,High School,Employed,85,0,8,800,114,0.57,0.597,East,54,13420,2,3.9,1,1,High
142,50,70975,23,Master,Employed,164,9,72,50,296,0.88,0.319,East,51,15980,4,3.74,1,0,High
143,57,90510,2,Master,Employed,13,1,113,879,201,0.65,0.24,North,34,14693,4,9.47,0,1,High
144,34,90696,16,High School,Unemployed,125,3,133,59,52,0.69,0.632,West,27,8664,1,9.74,0,0,High
145,53,50832,4,Master,Employed,92,8,79,855,190,0.95,0.216,East,33,18596,4,2.69,1,0,High
146,28,121746,34,Doctorate,Employed,182,6,75,895,299,0.83,0.507,North,26,2755,3,9.29,0,1,High
147,43,112826,5,Master,Unemployed,184,1,129,569,114,0.96,0.623,South,26,19885,2,6.55,0,1,High
148,49,119977,34,Master,Unemployed,115,7,153,714,236,0.8,0.42,North,51,3571,4,2.87,0,0,Low
149,23,49886,22,Bachelor,Employed,165,0,8,142,234,0.68,0.934,South,59,9626,3,8.65,1,0,Low
150,63,122930,20,Doctorate,Employed,44,7,4,483,173,0.61,0.183,North,39,12362,4,5.25,1,1,High
151,27,33418,39,Master,Unemployed,153,4,91,366,34,0.91,0.48,North,53,10909,2,4.11,1,1,High
152,49,148152,13,Bachelor,Employed,149,0,93,598,217,0.72,0.907,East,25,19623,3,2.96,1,0,High
153,49,32081,34,Master,Employed,89,2,144,262,172,0.83,0.259,East,40,4668,4,5.52,0,1,High
154,41,127716,6,Doctorate,Unemployed,84,6,61,80,296,0.87,0.665,South,46,19470,2,8.85,1,0,High
155,51,35114,29,High School,Employed,52,6,46,159,101,0.62,0.623,South,33,19648,4,8.92,1,1,Low
156,32,142845,33,Bachelor,Unemployed,37,7,38,987,94,0.99,0.914,West,47,1080,4,2.21,0,1,Low
157,49,43722,1,Master,Unemployed,90,3,127,201,5,0.62,0.897,West,26,18839,4,1.44,0,1,Low
158,46,112508,7,Master,Unemployed,28,5,58,410,192,0.88,0.923,North,44,14301,4,8.32,1,0,Low
159,60,42985,22,Doctorate,Unemployed,83,6,5,390,6,0.58,0.623,South,30,16919,2,3.04,0,0,High
160,54,30888,32,Bachelor,Employed,132,7,195,550,296,0.99,0.261,West,59,16366,2,8.45,1,0,High
161,22,94254,14,Bachelor,Unemployed,64,2,114,500,177,0.63,0.223,South,24,14626,1,4.19,0,0,High
162,48,122683,24,Bachelor,Unemployed,92,4,165,529,84,0.76,0.793,North,57,5591,4,5.49,0,0,Low
163,34,145234,19,Master,Employed,173,7,183,239,141,0.68,0.477,East,23,18722,1,6.7,0,1,High
164,62,133918,27,Doctorate,Employed,71,5,141,695,275,0.95,0.323,West,21,11977,4,7.65,1,1,Low
165,24,108845,23,Master,Employed,116,0,79,100,171,0.76,0.701,West,47,11240,4,5.35,1,0,High
166,60,148446,21,Bachelor,Employed,176,1,181,448,59,0.84,0.797,South,23,2299,2,3.84,0,0,High
167,27,44299,29,Master,Unemployed,125,2,100,467,83,0.61,0.918,West,52,6465,3,7.76,0,0,High
168,29,81050,1,Master,Unemployed,50,6,159,497,264,0.97,0.139,East,45,11204,1,8.66,1,0,Low
169,48,131747,31,Master,Unemployed,197,9,158,991,237,0.68,0.196,West,38,17383,3,9.21,0,1,High
170,30,47036,27,Bachelor,Unemployed,95,2,196,799,127,0.55,0.712,East,48,19879,1,6.96,1,1,High
171,58,110421,36,Doctorate,Employed,75,8,144,125,15,0.61,0.234,East,30,7159,3,1.57,1,0,High
172,54,54346,27,Master,Unemployed,196,8,3,302,26,0.6,0.215,West,34,13936,3,3.91,0,1,High
173,63,138507,15,High School,Employed,106,7,106,771,197,0.55,0.266,West,36,4039,2,2.28,0,0,High
174,45,139673,25,Bachelor,Unemployed,177,8,5,714,58,0.75,0.369,South,46,5286,4,7.85,1,1,Low
175,36,51691,15,Bachelor,Unemployed,28,7,191,983,7,0.66,0.897,South,23,19368,4,6.27,0,1,High
176,53,130578,19,Doctorate,Employed,64,8,157,751,218,0.75,0.823,East,31,1059,3,9.59,1,1,High
177,53,139063,11,Master,Unemployed,121,3,118,627,189,0.54,0.401,West,58,16705,2,8.25,1,0,Low
178,45,42986,33,Bachelor,Unemployed,55,3,74,390,16,0.79,0.663,East,24,10222,4,1.91,0,0,High
179,62,52846,23,Bachelor,Employed,13,4,90,584,128,0.82,0.72,West,21,9882,2,8.62,0,1,Low
180,33,147047,12,Bachelor,Employed,199,6,8,978,198,0.63,0.988,East,27,9761,2,7.22,0,1,Low
181,60,74665,2,Master,Unemployed,34,8,151,76,12,0.78,0.173,East,58,3694,1,5.62,1,1,High
182,23,138408,21,High School,Employed,72,3,19,366,85,0.65,0.424,East,50,17327,4,8.11,0,0,High
183,24,66401,14,High School,Unemployed,120,6,12,169,197,0.58,0.951,South,47,4253,4,2.0,1,1,High
184,58,98728,34,Bachelor,Unemployed,22,5,54,206,125,0.84,0.579,West,51,3211,1,1.74,0,1,High
185,38,129805,15,Doctorate,Employed,124,8,91,608,39,0.92,0.805,East,44,2623,1,3.01,0,0,High
186,23,75054,21,Master,Unemployed,95,8,95,343,271,0.58,0.307,West,32,10544,3,2.16,0,0,Low
187,23,63487,23,Doctorate,Unemployed,13,8,100,898,127,0.94,0.357,West,41,19128,3,4.82,1,0,Low
188,49,34412,21,High School,Unemployed,11,4,18,121,130,0.8,0.905,East,35,17413,1,9.27,1,1,High
189,44,147836,14,Master,Employed,76,2,46,622,22,0.89,0.706,North,43,16390,2,5.87,0,0,High
190,58,106499,21,Bachelor,Unemployed,119,5,70,582,74,0.85,0.852,North,49,13475,4,9.38,1,0,High
191,53,76473,12,High School,Unemployed,39,1,66,840,38,0.94,0.293,East,46,11374,4,9.92,1,0,High
192,54,124159,5,Bachelor,Unemployed,141,6,39,363,16,0.53,0.317,East,37,4005,1,1.59,0,0,High
193,22,91553,2,Master,Employed,57,6,93,741,281,0.99,0.363,East,27,6382,1,1.03,0,0,High
194,40,30279,22,Doctorate,Unemployed,52,1,57,195,64,0.94,0.843,West,22,18160,1,7.57,1,0,Low
195,23,100948,6,High School,Employed,102,5,30,93,132,0.52,0.296,West,34,4751,4,9.77,1,1,High
196,47,32712,2,Bachelor,Unemployed,182,3,44,121,270,0.63,0.703,East,28,10652,4,8.04,1,0,High
197,53,40817,29,Master,Employed,150,6,103,229,20,0.77,0.392,South,52,18464,1,6.12,1,1,High
198,27,78832,36,Master,Employed,56,7,53,393,211,0.93,0.649,South,59,5868,1,8.27,1,1,Low
199,53,118616,7,High School,Unemployed,37,9,72,570,283,0.66,0.486,East,44,4480,4,7.81,1,0,High
200,25,81224,16,High School,Employed,46,0,97,526,238,0.52,0.333,East,26,13874,4,4.26,0,1,High
201,32,31624,33,High School,Unemployed,37,4,154,94,65,0.89,0.696,South,38,7947,1,9.43,1,1,Low
202,38,54126,33,High School,Employed,164,8,51,981,20,0.72,0.725,North,36,10113,2,1.51,0,1,High
203,59,107115,14,Bachelor,Unemployed,167,1,54,889,190,0.88,0.781,North,29,14945,1,2.82,0,0,High
204,45,105667,12,Bachelor,Employed,143,3,26,245,15,0.66,0.84,East,26,13088,3,3.3,1,1,High
205,26,62462,6,Master,Unemployed,129,7,96,863,216,0.91,0.343,North,25,3934,4,2.49,0,1,High
206,55,83676,12,High School,Employed,18,4,115,649,281,0.68,0.449,West,26,1804,4,7.3,0,1,High
207,27,71815,31,High School,Employed,143,7,108,354,165,0.74,0.687,North,42,12780,4,6.94,0,0,High
208,43,127955,12,Doctorate,Employed,166,9,172,179,90,0.97,0.708,North,43,13649,3,9.69,1,0,High
209,32,113911,10,High School,Unemployed,79,9,170,637,165,0.57,0.993,North,23,11628,4,6.85,0,1,High
210,37,51093,27,Master,Employed,95,0,41,253,105,0.79,0.287,East,25,13779,4,5.7,1,0,Low
211,54,136030,7,Master,Unemployed,75,6,5,971,102,0.91,0.622,North,21,1367,1,4.15,0,1,High
212,30,142385,36,Doctorate,Employed,104,5,47,900,147,0.85,0.206,North,27,9368,4,9.38,0,1,Low
213,27,57525,33,Master,Unemployed,190,1,185,393,120,0.71,0.213,North,23,16685,4,5.64,1,0,Low
214,37,54030,27,High School,Employed,79,6,26,987,224,0.9,0.486,North,41,12175,3,5.94,1,0,High
215,50,69067,8,High School,Employed,14,2,159,621,36,0.74,0.602,South,33,7979,3,7.78,1,1,Low
216,24,140745,5,High School,Unemployed,29,3,165,364,296,0.82,0.287,East,28,7692,4,5.08,1,1,High
217,41,30207,8,Master,Employed,149,5,85,74,104,0.67,0.15,North,50,1121,2,5.42,0,0,High
218,57,101433,21,Master,Unemployed,111,2,180,449,92,0.53,0.407,North,22,13828,2,3.62,1,0,High
219,40,51639,24,Master,Employed,111,0,95,498,135,0.6,0.297,North,45,2426,4,6.64,0,1,High
220,47,27792,7,Bachelor,Unemployed,145,9,26,303,146,0.73,0.18,West,22,1250,3,1.32,1,0,Low
221,24,25420,19,Bachelor,Employed,129,0,39,942,251,0.95,0.843,North,50,12376,3,2.06,0,1,High
222,40,119760,31,Master,Unemployed,195,5,93,465,99,0.57,0.626,South,45,4937,4,8.12,1,1,High
223,41,44198,36,Doctorate,Unemployed,58,3,162,481,38,0.66,0.75,North,21,19636,2,7.54,0,0,Low
224,53,60608,27,Master,Employed,73,6,117,814,227,0.67,0.785,South,48,17813,3,7.11,0,0,High
225,28,71205,29,Bachelor,Employed,187,8,189,874,40,0.89,0.235,East,52,17810,3,1.84,1,1,High
226,62,107951,23,High School,Unemployed,106,7,128,969,167,0.77,0.342,East,51,17074,2,1.78,1,0,High
227,54,130943,20,High School,Unemployed,48,2,154,281,36,0.71,0.15,South,39,3796,1,4.09,0,0,High
228,61,42875,6,High School,Employed,49,6,21,548,5,0.53,0.9,East,22,15826,2,4.18,0,1,Low
229,60,95511,12,Doctorate,Employed,40,0,124,169,236,0.99,0.812,West,59,2691,1,5.0,1,0,High
230,39,116997,12,Bachelor,Employed,12,1,110,723,79,0.9,0.349,East,38,1650,4,7.62,1,0,High
231,61,46331,3,Bachelor,Employed,81,8,175,739,157,0.53,0.379,South,58,13998,1,9.35,0,1,High
232,22,41893,39,Master,Unemployed,39,9,23,776,129,0.52,0.627,South,55,15406,2,2.27,0,0,High
233,32,89913,35,Bachelor,Unemployed,104,7,150,653,195,0.63,0.637,North,34,1682,4,5.27,0,0,High
234,49,43243,19,High School,Unemployed,38,6,180,101,217,0.53,0.883,North,53,11863,4,3.23,1,0,Low
235,46,40535,4,Master,Employed,65,9,34,643,80,0.87,0.127,West,31,15583,4,8.82,1,0,High
236,44,88203,31,High School,Unemployed,96,1,72,145,56,0.6,0.932,North,59,19659,1,7.6,0,1,High
237,52,95597,38,Bachelor,Employed,117,1,154,623,209,0.94,0.882,South,42,15241,1,5.12,0,1,Low
238,51,92394,33,Doctorate,Unemployed,72,6,6,422,199,0.81,0.556,West,32,4719,2,9.67,0,0,High
239,63,50489,6,High School,Unemployed,39,6,151,233,280,0.74,0.204,North,53,8935,4,5.49,0,1,High
240,56,104214,8,Bachelor,Employed,62,5,127,558,171,0.56,0.658,East,21,5942,4,2.69,1,1,High
241,28,145295,28,Doctorate,Unemployed,55,9,22,351,56,0.57,0.658,West,50,17951,2,1.11,0,0,High
242,37,125369,15,Doctorate,Employed,112,4,6,88,54,0.56,0.18,West,44,11896,1,2.64,0,0,High
243,47,137695,31,Bachelor,Unemployed,146,5,55,600,72,0.61,0.939,West,36,19653,2,9.98,1,1,High
244,23,109886,8,Master,Employed,16,8,149,845,45,0.55,0.665,South,23,19563,3,9.59,0,1,High
